tc_id,input_id,partition,http_code,oracle_pass,notes,response_file
test_case_01,abc,P1,500,false,OR3_fail_5xx;,evidence/week4/test_case_01_response.json
test_case_02,1.5,P1,500,false,OR3_fail_5xx;,evidence/week4/test_case_02_response.json
test_case_03,-1,P2,500,false,OR3_fail_5xx;,evidence/week4/test_case_03_response.json
test_case_04,0,P2,404,true,,evidence/week4/test_case_04_response.json
test_case_05,1,P3,200,true,,evidence/week4/test_case_05_response.json
test_case_06,2,P3,200,true,,evidence/week4/test_case_06_response.json
test_case_07,999999,P3,404,true,,evidence/week4/test_case_07_response.json
test_case_08,2147483647,P3,404,true,,evidence/week4/test_case_08_response.json
test_case_09,0001,P3,200,true,,evidence/week4/test_case_09_response.json
test_case_10,01,P3,200,true,,evidence/week4/test_case_10_response.json
test_case_11,-2147483648,P2,500,false,OR3_fail_5xx;,evidence/week4/test_case_11_response.json
test_case_12,999999999,P3,404,true,,evidence/week4/test_case_12_response.json
test_case_13, 1 ,P1,200,false,OR5_fail_invalid_id_200;,evidence/week4/test_case_13_response.json
test_case_14,+1,P3,200,true,,evidence/week4/test_case_14_response.json
test_case_15,9223372036852,P1,500,false,OR3_fail_5xx;,evidence/week4/test_case_15_response.json
test_case_16,%31,P1,400,true,,evidence/week4/test_case_16_response.json
test_case_17,1,P3,200,true,,evidence/week4/test_case_17_response.json
test_case_18,999999999999,P3,500,false,OR3_fail_5xx;,evidence/week4/test_case_18_response.json
test_case_19,1,P3,200,true,,evidence/week4/test_case_19_response.json
